World Meteorological Organization Climate Normals for ,,1991,2020,,,,,,,,,,,,,,,,1/1/1991 0:00,12/31/2020 23:59
Single Station Data Sheet For All Climatological Surface Parameters,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station Header Record,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Country_Name,Philippine,,,,,,,,,,,,,,,,,,,
Station_Name,Sinait Ilocos Sur,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
WMO_Number,Latitude,Longitude,Station_Height,,,,,,,,,,,,,,,,,
98222,17|53|N,120|27|E,58.129,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
WMO Integrated Global Observing System (WIGOS) Station Identifier (if available),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Principal Climatological Surface Parameters,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,,,,,
1,Precipitation_Total,mm,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual,,,,
98222,1,Sum,4,5.8,2.5,5.6,17.2,173,281.8,533.9,613.8,358,134.7,45.7,6.2,2178.2,,,,
98222,1,NOY,98,30,30,29,30,30,30,29,30,28,29,30,30,30,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,,,,,
2,Number_of_Days_with_Precipitation_>=_1_mm,count,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
